,Tokens,Chars/Token,Vocab Size
Tokens,1.0,-0.9803895504461682,-0.3946897781599998
Chars/Token,-0.9803895504461682,1.0,0.32214453556281913
Vocab Size,-0.3946897781599998,0.32214453556281913,1.0
